""	"PARTID"	"order"	"item"	"CODE"
"354"	"lhj008"	2	"religion"	"religion"
"355"	"lhj010"	4	"religion"	"religion"
"356"	"naj002"	1	"Religion"	"religion"
"357"	"naj015"	1	"Religion"	"religion"
"358"	"acgn005"	1	"religion"	"religion"
"359"	"acgn009"	2	"religion"	"religion"
"360"	"KK008"	1	"Religion"	"religion"
"361"	"KK011"	1	"Religion"	"religion"
"362"	"msr007"	5	"religion"	"religion"
"363"	"naj007"	4	"Religionsundervisning"	"religionsundervisning"
"364"	"naj016"	4	"Religiøs figur"	"religiøs figur"
"365"	"acgn007"	3	"religiøs figur"	"religiøs figur"
"366"	"mho003"	1	"religiøsitet"	"religiøsitet"
"367"	"lhj002"	3	"rettesnot"	"rettesnor"
"368"	"msc002"	5	"Ro"	"ro"
"369"	"naj004"	2	"Ro"	"ro"
"370"	"lhj004"	2	"særligt"	"særlig"
"371"	"lhj007"	3	"salmer"	"salmer"
"372"	"naj004"	4	"Salmer"	"salmer"
"373"	"KK003"	5	"Salmer"	"salmer"
"374"	"LM007"	2	"Sammenhold"	"sammenhold"
"375"	"msc002"	4	"Sammenhold"	"sammenhold"
"376"	"msc008"	5	"Selvopofrende"	"selvopofrende"
"377"	"LM011"	4	"Sikkerhed"	"sikkerhed"
"378"	"msr009"	3	"sjael"	"sjæl"
"379"	"mho003"	2	"skabelse"	"skabelse"
"380"	"lhj008"	4	"skabelse"	"skabelse"
"381"	"KK010"	5	"Skabende"	"skaber"
"382"	"mho006"	3	"skaber"	"skaber"
"383"	"LM002"	1	"Skaber"	"skaber"
"384"	"naj011"	3	"Skaber"	"skaber"
"385"	"msr004"	4	"skaber"	"skaber"
"386"	"mho007"	4	"skaberen"	"skaber"
"387"	"msc001"	2	"Skaberen"	"skaber"
"388"	"lhj009"	3	"skaberen"	"skaber"
"389"	"naj016"	1	"Skaberkraft"	"skaber"
"390"	"LM006"	5	"Skabte jorden"	"skaber"
"391"	"acgn003"	3	"skæbne"	"skæbne"
"392"	"mho002"	5	"skæg"	"skæg"
"393"	"mho002"	4	"skyer"	"skyer"
"394"	"KK014"	1	"Skyer"	"skyer"
"395"	"msr010"	5	"skyer"	"skyer"
"396"	"naj014"	4	"Skyld/skam"	"skyld og skam"
"397"	"LM019"	5	"Smerte"	"smerte"
"398"	"naj010"	5	"Solnedgang"	"solnedgang"
"399"	"naj012"	5	"Sorg"	"sorg"
"400"	"lhj006"	3	"sorg/glæde"	"sorg og glæde"
"401"	"KK004"	3	"Sort"	"sort"
"402"	"msr009"	1	"sort skaldet kvinde med vinger"	"sort skaldet kvinde med vinger"
"403"	"mho001"	5	"spekulativ"	"spekulativt"
"404"	"acgn006"	4	"stor"	"stor"
"405"	"msr001"	2	"stor"	"stor"
"406"	"KK009"	2	"Stor mand"	"stor"
"407"	"lhj006"	4	"storhed/uforklarligt"	"stor og uforklarlig"
"408"	"KK001"	2	"Større mening"	"større mening"
"409"	"lhj001"	3	"støtte (for troende)"	"støtte"
"410"	"naj008"	4	"Svage sjæle"	"svage sjæle"
"411"	"LM017"	4	"Templer/kirker"	"kirke"
"412"	"LM018"	1	"Teologer"	"teologi"
"413"	"LM012"	4	"Teologi"	"teologi"
"414"	"mho005"	5	"tilgivelse"	"tilgivelse"
"415"	"KK001"	4	"Tilgivelse"	"tilgivelse"
"416"	"msc005"	5	"Tilgivelse"	"tilgivelse"
"417"	"LM015"	4	"Tilgivende"	"tilgivelse"
"418"	"LM015"	3	"Tilgodeseelse"	"tilgodeseelse"
"419"	"acgn003"	2	"tillid"	"tillid"
"420"	"LM015"	2	"Tilstraekkelighedsfoelelse"	"tilstrækkelighedsfølelse"
"421"	"msc006"	2	"Tomhed"	"tomhed"
"422"	"naj006"	3	"Toraen"	"toraen"
"423"	"LM018"	4	"Torden"	"torden"
"424"	"LM019"	1	"Transcendens"	"transcendent"
"425"	"mho001"	2	"transcendent"	"transcendent"
"426"	"LM019"	2	"Treenighed"	"treenighed"
"427"	"acgn002"	2	"treenighed"	"treenighed"
"428"	"LM003"	1	"Tro"	"tro"
"429"	"LM006"	3	"Tro"	"tro"
"430"	"LM007"	1	"Tro"	"tro"
"431"	"LM010"	2	"Tro"	"tro"
"432"	"lhj001"	1	"Tro"	"tro"
"433"	"lhj005"	3	"tro"	"tro"
"434"	"naj002"	3	"Tro"	"tro"
"435"	"naj003"	4	"Tro"	"tro"
"436"	"naj004"	5	"Tro"	"tro"
"437"	"naj005"	1	"Tro"	"tro"
"438"	"naj008"	1	"Tro"	"tro"
"439"	"naj009"	1	"Tro"	"tro"
"440"	"naj013"	5	"Tro"	"tro"
"441"	"naj015"	5	"Tro"	"tro"
"442"	"acgn006"	1	"tro"	"tro"
"443"	"acgn008"	1	"Tro"	"tro"
